Date,taste,Acetic,H2S,Lactic,missing
12/1/1995,12.3,4.543,3.135,0.86,0
12/1/1995,20.9,5.159,5.043,1.53,0
12/1/1995,39,5.366,5.438,1.57,0
12/1/1995,47.9,5.759,7.496,1.81,0
12/1/1995,5.6,4.663,3.807,0.99,0
12/1/1995,25.9,5.697,7.601,1.09,0
12/1/1995,37.3,5.892,8.726,1.29,0
12/1/1995,21.9,6.078,7.966,1.78,0
12/1/1995,18.1,4.898,3.85,1.29,0
12/1/1995,21,5.242,4.174,1.58,0
12/1/1995,34.9,5.74,6.142,1.68,0
12/1/1995,57.2,6.446,7.908,1.9,0
12/1/1995,0.7,4.477,2.996,1.06,0
12/1/1995,25.9,5.236,4.942,1.3,0
12/1/1995,54.9,6.151,6.752,1.52,0
12/8/1995,40.9,6.365,9.588,1.74,0
12/8/1995,15.9,4.787,3.912,1.16,0
12/8/1995,6.4,5.412,4.7,1.49,0
12/8/1995,18,5.247,6.174,1.63,0
12/8/1995,38.9,5.438,9.064,1.99,0
12/8/1995,14,4.564,4.949,1.15,0
12/8/1995,15.2,5.298,5.22,1.33,0
12/8/1995,32,5.455,9.242,1.44,0
12/8/1995,56.7,5.855,10.199,2.01,0
12/8/1995,16.8,5.366,3.664,1.31,0
12/8/1995,11.6,6.043,3.219,1.46,0
12/8/1995,26.5,6.458,6.962,1.72,0
12/8/1995,0.7,5.328,3.912,1.25,0
12/8/1995,13.4,5.802,6.685,1.08,0
12/8/1995,5.5,6.176,4.787,1.25,0
12/9/1995,,6,13.1,1.2,1
